lat,lon,category
51.372314295295446,-0.13168038757647613,pub
51.41553289532635,-0.1917748875772272,pub
51.418527195328664,-0.18530248757264878,pub
51.36275989528742,-0.18521268760526033,pub
51.594091295465134,0.23513051270925278,pub
51.536219095414445,-0.3450490875755181,convenience
51.593773795464884,0.2342052127086806,cafe
51.593820495464925,0.2343688127087765,bakery
51.593408595464595,0.23288651270792204,convenience
51.59359619546477,0.23339351270824293,supermarket
51.59359889546476,0.23362311270833758,fast_food
51.593920795465,0.23467121270896146,restaurant
51.60040919546948,0.21137951270320338,fast_food
51.53705699541829,-0.08847728746121584,pub
51.59385549546494,0.23448681270884633,fast_food
51.519093395405314,-0.05893728745894852,pub
51.649573295501874,-0.171439087432305,supermarket
51.46939709536611,-0.21049628755403235,pub
51.655956895506414,-0.20392138744310434,supermarket
